Year,OSHPD_ID,Facility Name,County,Type of Ownership,Hospital Type,Teaching,Small/Rural,Licensed Beds,Available Beds,Staffed Beds,Pretax Net Income,Other Operating Rev,Total Operating Rev,Total Margin,Operating Margin,Location
2012,106281266,NAPA STATE HOSPITAL,Napa,State,State Hospitals,,,1362,1229,1229,548314153,$0.00,$548314153.00,0%,0%,"NAPA, California
(38.297242, -122.289405)"
2011,106391056,SUTTER TRACY COMMUNITY HOSPITAL,San Joaquin,Non-Profit,Comparable,,,82,80,39,114262585,$1350946.00,$115613531.00,1.2%,1.2%,"TRACY, California
(37.738534, -121.421127)"
2011,106190958,METROPOLITAN STATE HOSPITAL,Los Angeles,State,State Hospitals,,,1096,625,620,190336447,$0.00,$190336447.00,0%,0%,"NORWALK, California
(33.914183, -118.072494)"
2013,106190163,AURORA CHARTER OAK,Los Angeles,Investor,Comparable,,,134,122,122,34639024,$24744.00,$34663768.00,0.1%,0.1%,"COVINA, California
(34.086248, -117.890145)"
2012,106444013,WATSONVILLE COMMUNITY HOSPITAL,Santa Cruz,Investor,Comparable,,,106,106,92,109869542,$191812.00,$110061354.00,0.2%,0.2%,"WATSONVILLE, California
(36.910233, -121.756873)"
2015,106190163,AURORA CHARTER OAK,Los Angeles,Investor,Comparable,,,134,134,126,37367580,$45269.00,$37412849.00,0.1%,0.1%,"COVINA, California
(34.086248, -117.890145)"
2013,106380960,ST. FRANCIS MEMORIAL HOSPITAL,San Francisco,Non-Profit,Comparable,,,288,150,106,200826294,$6240910.00,$207067204.00,3%,3.1%,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2014,106370977,POMERADO HOSPITAL,San Diego,District,Comparable,,,236,236,212,174405382,$1096911.00,$175502293.00,0.6%,0.6%,"POWAY, California
(32.986369, -117.023491)"
2014,106191228,LAC/USC MEDICAL CENTER,Los Angeles,City/County,Comparable,Teaching,,676,648,538,1053845427,$219286066.00,$1273131493.00,17.2%,20.8%,"LOS ANGELES, California
(34.052238, -118.243344)"
2014,106291053,TAHOE FOREST HOSPITAL,Nevada,District,Comparable,,Rural,62,62,62,101103496,$1536162.00,$102639658.00,1.5%,1.5%,"TRUCKEE, California
(39.328161, -120.184054)"
2014,106190422,TORRANCE MEMORIAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,446,378,270,495980623,$14739360.00,$510719983.00,2.9%,3%,"TORRANCE, California
(33.836318, -118.340038)"
2014,106084001,SUTTER COAST HOSPITAL,Del Norte,Non-Profit,Comparable,,Rural,49,49,24,69929183,$427445.00,$70356628.00,0.6%,0.6%,"CRESCENT CITY, California
(41.754772, -124.204373)"
2014,106050932,MARK TWAIN ST. JOSEPH'S HOSPITAL,Calaveras,Non-Profit,Comparable,,Rural,48,25,13,65017696,$253769.00,$65271465.00,0.4%,0.4%,"SAN ANDREAS, California
(38.196211, -120.68092)"
2014,106090933,MARSHALL MEDICAL CENTER.,El Dorado,Non-Profit,Comparable,,Rural,113,113,113,208698995,$2974571.00,$211673566.00,1.4%,1.4%,"PLACERVILLE, California
(38.729652, -120.799147)"
2015,106374049,SHARP MCDONALD CENTER,San Diego,Non-Profit,Comparable,,,16,14,10,4260260,$0.00,$4260260.00,0%,0%,"SAN DIEGO, California
(32.71576, -117.163817)"
2011,106342392,SIERRA VISTA HOSPITAL,Sacramento,Investor,Comparable,,,120,120,120,29257865,$2015936.00,$31273801.00,6.4%,6.9%,"SACRAMENTO, California
(38.582087, -121.50012)"
2010,106340951,METHODIST HOSPITAL OF SACRAMENTO,SACRAMENTO,Non-Profit,Comparable,,,333,327,327,201172000,$1590000.00,$202762000.00,0.8%,0.8%,"SACRAMENTO, California
(38.582087, -121.50012)"
2010,106190468,PROMISE HOSPITAL OF EAST LOS ANGELES,LOS ANGELES,Investor,Comparable,,,213,213,179,85484378,$154727.00,$85639105.00,0.2%,0.2%,"LOS ANGELES, California
(34.052238, -118.243344)"
2012,106190380,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,Los Angeles,Investor,Comparable,,,159,159,159,76308773,$102811.00,$76411584.00,0.1%,0.1%,"HOLLYWOOD, California
(34.098301, -118.325798)"
2012,106500852,DOCTORS MEDICAL CENTER,Stanislaus,Investor,Comparable,,,459,441,314,471904731,$1546050.00,$473450781.00,0.3%,0.3%,"MODESTO, California
(37.640735, -121.002435)"
